experiment,seed,ca_size,iterations,bits,entropy,autocorrelation,ones,zeros,proportion_ones,monobit_statistic,runs,expected_runs,runs_statistic,time
1,12345,101,100,10100,0.9974187217252449,0.3003807428751761,4748,5352,0.4700990099009901,6.010024628868335,3521,5032.939801980198,-30.198224350772833,0.022610187530517578
2,12346,101,100,10100,0.9959546914868183,0.3373760412251237,4672,5428,0.4625742574257426,7.522481157987518,3328,5022.706138613862,-33.91763323994615,0.01665949821472168
3,12347,101,100,10100,0.9767596840967274,0.35732333837134517,4146,5954,0.41049504950495047,17.990272398996606,3142,4889.175049504951,-35.923056619541754,0.015814781188964844
